Email date (UTC),Internet message ID,Sender address,Sender domain,Recipients,Subject,Delivery action,Latest delivery location,DMARC
2026-05-01 09:10:00,<656c4f3e9ec0323dd0992a24@smtp.example-esp.net>,noreply@example.com,example.com,user0@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-02 09:11:00,<1f6cb8e8f59a43b865874832@smtp.example-esp.net>,noreply@example.com,example.com,user1@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-03 09:12:00,<f80eb63ab603c5b79eb021e7@smtp.example-esp.net>,noreply@example.com,example.com,user2@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-04 09:13:00,<7a55cf16ea4a1e43efdc2d18@smtp.example-esp.net>,noreply@example.com,example.com,user3@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-05 09:14:00,<35a2cfe5b1407d22c3e4e130@smtp.example-esp.net>,noreply@example.com,example.com,user4@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-06 09:15:00,<1a4c24285ee32b4a9acd831d@smtp.example-esp.net>,noreply@example.com,example.com,user5@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-07 09:10:00,<67c1313c0b4ec6849a3a41de@smtp.example-esp.net>,noreply@example.com,example.com,user6@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-08 09:11:00,<34339683ef5c74a7aae960f6@smtp.example-esp.net>,noreply@example.com,example.com,user7@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-09 09:12:00,<115332e4c7322492076365b6@smtp.example-esp.net>,noreply@example.com,example.com,user8@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-01 09:13:00,<dc8d4f40700bec082a5f232e@smtp.example-esp.net>,noreply@example.com,example.com,user9@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-02 09:14:00,<044cd74857af1e840bb3fc7e@smtp.example-esp.net>,noreply@example.com,example.com,user10@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-03 09:15:00,<7e665f933e97797436798ffe@smtp.example-esp.net>,noreply@example.com,example.com,user11@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-04 09:10:00,<25c9cf7cf08385631bc4ab1f@smtp.example-esp.net>,noreply@example.com,example.com,user12@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-05 09:11:00,<7bdb401c8412013cf4fdcdeb@smtp.example-esp.net>,noreply@example.com,example.com,user13@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-06 09:12:00,<df1e96c91408cd61766d7a37@smtp.example-esp.net>,noreply@example.com,example.com,user14@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-07 09:13:00,<0b182f0b56bcb8e7030a8629@smtp.example-esp.net>,noreply@example.com,example.com,user15@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-08 09:14:00,<dc434bd80384d0214264603b@smtp.example-esp.net>,noreply@example.com,example.com,user16@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-09 09:15:00,<9efb086d44538e34db5f88e7@smtp.example-esp.net>,noreply@example.com,example.com,user17@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-01 09:10:00,<a3e432a968879d66e94b19af@smtp.example-esp.net>,noreply@example.com,example.com,user18@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-02 09:11:00,<7b9e8a4f7b1d4bbfc539bf87@smtp.example-esp.net>,noreply@example.com,example.com,user19@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-03 09:12:00,<6fc393f9de9207584123c6db@smtp.example-esp.net>,noreply@example.com,example.com,user20@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-04 09:13:00,<5ef9ca942fe518010726bdcf@smtp.example-esp.net>,noreply@example.com,example.com,user21@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-05 09:14:00,<4331e630acdf0ac8ce44d113@smtp.example-esp.net>,noreply@example.com,example.com,user22@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-06 09:15:00,<52c32141d81d229fa3f28531@smtp.example-esp.net>,noreply@example.com,example.com,user23@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-07 09:10:00,<7b05b2a76304982db5339052@smtp.example-esp.net>,noreply@example.com,example.com,user24@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-08 09:11:00,<e9859ff44da1120a32b57810@smtp.example-esp.net>,noreply@example.com,example.com,user25@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-09 09:12:00,<705b92c2acbbb4d669631d47@smtp.example-esp.net>,noreply@example.com,example.com,user26@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-01 09:13:00,<46cb4471c1c14415af1273a5@smtp.example-esp.net>,noreply@example.com,example.com,user27@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-02 09:14:00,<b35e80670440a80852b80316@smtp.example-esp.net>,noreply@example.com,example.com,user28@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-03 09:15:00,<94110fb7be5a2cd182a8a400@smtp.example-esp.net>,noreply@example.com,example.com,user29@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-04 09:10:00,<e8c877d9c6517b13d21a105d@smtp.example-esp.net>,noreply@example.com,example.com,user30@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-05 09:11:00,<8fd9152379a59af943c9b109@smtp.example-esp.net>,noreply@example.com,example.com,user31@example.com,Your monthly statement,Delivered,Inbox/folder,pass
2026-05-06 09:12:00,<3b3a8e6769e5d3165d3476ad@smtp.example-esp.net>,noreply@example.com,example.com,user32@example.com,Your monthly statement,Delivered,Inbox/folder,pass
